Renault,Logan,2019,QDQ158,Rojo,130815114
Renault,Sandero,2018,PEE227,Blanco,66064120
Toyota,Corolla,2017,ZCZ194,Azul,207933193
Toyota,Prado,2014,XCB665,Negro,107838272
Chevrolet,Tracker,2020,GGY561,Cafe,230097570
Chevrolet,Onix,2018,JDC715,Amarillo,837638535
Mazda,3,2007,FNB617,Blanco,542170216
Kia,Seltos,2018,UEB124,Gris,992474112
Suzuki,Swift,2016,HIU609,Verde,161338544
Nissan,Tida,2010,CGJ680,Negro,814677330
Volkswagen,Cross,2008,TZT978,Rojo,448027870
Ford,Fiesta,2020,QDV130,Blanco,1125125510
Foton,FHR XL,2014,YTX027,Azul,889190207
Hyundai,Tucson,2023,SHA394,Negro,605714945
JAC,T8 Pro,2022,AFI483,Cafe,229825739
BMW,X6 M60i,2007,ONO688,Amarillo,511898183
Mercedes-Benz,GLC 350e,2006,BJK404,Blanco,1181988459
Citroen,C-elysee,2022,BJG925,Gris,587904895
JMC,CHR 3.2,2009,YRF350,Verde,146418294
Subaru,Evoltis,2020,TMC498,Negro,402971088
Peugeot,3008,2012,DEA313,Rojo,131305233
Honda,Civic,2015,AXB509,Blanco,476939682
Hino,GH8J,2021,FAY808,Azul,780559713
Renault,Duster,2019,MEI047,Negro,863655265
Renault,KWID,2013,YBL737,Cafe,730983773
Toyota,4Runner,2018,GUN615,Amarillo,184351395
Toyota,Hilux,2018,GBS106,Blanco,459437299
Chevrolet,Captiva,2019,XDD987,Gris,693629797
Chevrolet,Joy,2006,QZC800,Verde,570757656
Mazda,CX-30,2019,GTX184,Negro,1056836345
Kia,Picanto,2016,KPD197,Rojo,1087235587
Suzuki,Derco,2021,SSU899,Blanco,305847059
Nissan,Murano,2012,YED04,Azul,754644943
Volkswagen,Gol,2023,BZL025,Negro,736097950
Ford,Escape,2018,ZUF719,Cafe,755192765
Foton,FKR CUMMINS,2012,DDV738,Amarillo,265663219
Hyundai,Accent,2015,BBL297,Blanco,311900139
JAC,S2,2009,SIX600,Gris,1128187429
BMW,X4 M,2014,TBB714,Verde,192882174
Mercedes-Benz,AMG GLC 43,2014,LOU543,Negro,368853394
Citroen,C3,2020,HYP350,Rojo,570913999
JMC,CPR 4.5,2012,JWZ148,Blanco,915142653
Subaru,Legacy,2020,QYX303,Azul,1159514991
Peugeot,Allure,2008,NNW833,Negro,923633347
Honda,CRV,2015,ZND077,Cafe,516539654
Hino,Dutro Pro,2011,KFD448,Amarillo,127000363
Renault,Logan,2021,RTM240,Blanco,43541651
Renault,Sandero,2006,ZEM400,Gris,1011369921
Toyota,Corolla,2020,JXR405,Verde,934035977
Toyota,Prado,2019,SGQ969,Negro,309674053
Chevrolet,Tracker,2005,KKW833,Rojo,345661160
Chevrolet,Onix,2018,JYS756,Blanco,555651522
Mazda,4,2023,XNA788,Azul,676735761
Kia,Seltos,2011,MCU560,Negro,268677223
Suzuki,Swift,2012,BFB029,Cafe,1137526561
Nissan,Tida,2013,OWK253,Amarillo,974415378
Volkswagen,Cross,2015,NWO957,Blanco,41029363
Ford,Fiesta,2015,ZJP754,Gris,503738017
Foton,FHR XL,2005,ETX046,Verde,313008906
Hyundai,Tucson,2005,VBX452,Negro,940333960
JAC,T8 Pro,2007,UTE978,Rojo,190769508
BMW,X6 M60i,2007,HBM202,Blanco,723875436
Mercedes-Benz,GLC 350e,2005,WMO151,Azul,845440176
Citroen,C-elysee,2019,EIS941,Negro,1122479213
JMC,CHR 3.3,2011,FEL529,Cafe,888649815
Subaru,Evoltis,2019,KKW331,Amarillo,70782103
Peugeot,3009,2010,HJZ092,Blanco,927448874
Honda,Civic,2012,FHF401,Gris,940136756
Hino,GH8J,2021,XDU267,Verde,753265735
Renault,Duster,2019,HSD074,Negro,692951311
Renault,KWID,2012,LSQ059,Rojo,631719889
Toyota,4Runner,2006,XQR088,Blanco,456205718
Toyota,Hilux,2016,ZGU205,Azul,688496472
Chevrolet,Captiva,2008,IYL527,Negro,985487740
Chevrolet,Joy,2009,HIL250,Cafe,686960446
Mazda,CX-31,2013,SBI563,Amarillo,115121768
Kia,Picanto,2019,EOC448,Blanco,1013863004
Suzuki,Derco,2011,IBG311,Gris,111409368
Nissan,Murano,2005,YAI418,Verde,533719437
Volkswagen,Gol,2023,HES036,Negro,787000004
Ford,Escape,2018,GND869,Rojo,969493449
Foton,FKR CUMMINS,2019,PIM337,Blanco,623339404
Hyundai,Accent,2011,TZO064,Azul,217919746
JAC,S3,2020,QXY444,Negro,920295861
BMW,X4 M,2007,SQP988,Cafe,932423067
Mercedes-Benz,AMG GLC 44,2019,HKK162,Amarillo,754386271
Citroen,C4,2017,IZQ469,Blanco,588377673
JMC,CPR 4.6,2009,CMI692,Gris,931397106
Subaru,Legacy,2012,OCQ282,Verde,501586600
Peugeot,Allure,2021,OSO602,Negro,1192069780
Honda,CRV,2019,FEM198,Rojo,282155466
Hino,Dutro Pro,2015,PUW235,Blanco,558876563
Renault,Logan,2013,UNS613,Azul,473083298
Renault,Sandero,2019,FGD396,Negro,486223963
Toyota,Corolla,2023,EGW766,Cafe,368079617
Toyota,Prado,2005,KQI192,Amarillo,93170177
Chevrolet,Tracker,2023,WMK546,Blanco,68537858
Chevrolet,Onix,2022,KRI918,Gris,348930782
Mazda,5,2009,BEU874,Verde,724682883
Kia,Seltos,2014,UCT990,Negro,710577329
Suzuki,Swift,2006,TZJ648,Rojo,1074495743
Nissan,Tida,2009,PHJ975,Blanco,888462079
Volkswagen,Cross,2012,BVG806,Azul,136933852
Ford,Fiesta,2014,EHR581,Negro,523187925
Foton,FHR XL,2020,DOO509,Cafe,70539229
Hyundai,Tucson,2012,ZHQ735,Amarillo,444423398
JAC,T8 Pro,2015,HUX538,Blanco,762266826
BMW,X6 M60i,2018,UCT830,Gris,612371741
Mercedes-Benz,GLC 350e,2016,ISX417,Verde,609594952
Citroen,C-elysee,2017,OJH774,Negro,886679368
JMC,CHR 3.4,2014,HAE422,Rojo,303230997
Subaru,Evoltis,2020,KMM635,Blanco,305784148
Peugeot,3010,2013,JMN560,Azul,727948968
Honda,Civic,2005,SAG06,Negro,170209760
Hino,GH8J,2015,XZG237,Cafe,153960829
Renault,Duster,2007,NPG680,Amarillo,475324832
Renault,KWID,2019,AVO647,Blanco,611657562
Toyota,4Runner,2022,OOO567,Gris,825898505
Toyota,Hilux,2006,ZWT194,Verde,799539894
Chevrolet,Captiva,2019,LRH610,Negro,432004869
Chevrolet,Joy,2020,YMB784,Rojo,584790756
Mazda,CX-32,2015,EGK380,Blanco,90691302
Kia,Picanto,2012,KGC068,Azul,873487552
Suzuki,Derco,2016,UPW149,Negro,134737721
Nissan,Murano,2006,RWG699,Cafe,703235540
Volkswagen,Gol,2013,EVW835,Amarillo,1191051487
Ford,Escape,2022,AEF659,Blanco,1163859790
Foton,FKR CUMMINS,2009,JYB138,Gris,1123433924
Hyundai,Accent,2020,RKR163,Verde,395208624
JAC,S4,2013,HGD846,Negro,1135337727
BMW,X4 M,2015,MFB101,Rojo,764579025
Mercedes-Benz,AMG GLC 45,2019,FAZ935,Blanco,966470416
Citroen,C5,2015,GYM248,Azul,1144566907
JMC,CPR 4.7,2014,VTM472,Negro,43232627
Subaru,Legacy,2006,JVY700,Cafe,515829850
Peugeot,Allure,2011,AQL567,Amarillo,740008873
Honda,CRV,2005,GEM064,Blanco,725586519
Hino,Dutro Pro,2006,CSJ234,Gris,1025675984
Renault,Logan,2010,JZN994,Verde,373518549
Renault,Sandero,2021,WJY254,Negro,268292265
Toyota,Corolla,2013,ZWZ035,Rojo,565515304
Toyota,Prado,2009,JQF603,Blanco,805389724
Chevrolet,Tracker,2016,NUL212,Azul,1185366442
Chevrolet,Onix,2022,SXM958,Negro,367947188
Mazda,6,2022,WOQ303,Cafe,177201233
Kia,Seltos,2006,BVK149,Amarillo,614298927
Suzuki,Swift,2008,IIP216,Blanco,721522792
Nissan,Tida,2007,JYG023,Gris,322891673
Volkswagen,Cross,2006,ADM578,Verde,923205506
Ford,Fiesta,2021,IAK729,Negro,454851425
Foton,FHR XL,2011,NWZ664,Rojo,223555570
Hyundai,Tucson,2020,RQL682,Blanco,277294824
JAC,T8 Pro,2012,KMR088,Azul,67438651
BMW,X6 M60i,2009,MZJ060,Negro,511139352
Mercedes-Benz,GLC 350e,2009,ZJK636,Cafe,74153232
Citroen,C-elysee,2021,RFO346,Amarillo,472189119
JMC,CHR 3.5,2016,UBO815,Blanco,931322306
Subaru,Evoltis,2011,CHS064,Gris,280435895
Peugeot,3011,2022,ZPH475,Verde,626886212
Honda,Civic,2018,NIX214,Negro,530854945
Hino,GH8J,2009,BKH398,Rojo,1146667134
Renault,Duster,2012,IGW130,Blanco,767730020
Renault,KWID,2006,YPQ203,Azul,505357798
Toyota,4Runner,2011,HQN281,Negro,878616272
Toyota,Hilux,2020,TCU297,Cafe,984049290
Chevrolet,Captiva,2014,XRJ799,Amarillo,1014732256
Chevrolet,Joy,2005,WYG142,Blanco,978929701
Mazda,CX-33,2011,BXX024,Gris,469581449
Kia,Picanto,2011,UQQ829,Verde,759287544
Suzuki,Derco,2007,JVT750,Negro,1044125539
Nissan,Murano,2021,YUM713,Rojo,748431818
Volkswagen,Gol,2014,KKH889,Blanco,319162160
Ford,Escape,2010,YSZ255,Azul,418603526
Foton,FKR CUMMINS,2015,BYV091,Negro,493199143
Hyundai,Accent,2014,NTW175,Cafe,193899322
